应急指挥中心, 军武
应急处置领导小组办公室, 佳帅
技术处置工作小组,福谦
交易业务处置工作小组,兰青
客户服务处置工作小组,王静
精算业务处置工作小组,朱海涛
后勤保障处置工作小组,张振军
 AUTO, AUTO_刘平
 AUTO_RD, AUTO_齐勇
 AUTO_HR, AUTO_王璇
 AUTO_FIN, AUTO_丽娟
 AUTO_BOCC, AUTO_柯南
 AUTO_RD_RD1, AUTO_刘百川
 AUTO_RD_RD1_OLTP, AUTO_陈则新
 AUTO_RD_RD1_SBC, AUTO_吴楠
 AUTO_RD_RD1_SIT, AUTO_张亚楠
 AUTO_BOCC_B1, AUTO_杨昌国
 AUTO_BOCC_ZC, AUTO_江峰
 AUTO_RD_RD2, AUTO_李欣
 YY_RD, YY_黄海新
 YY_HR, YY_易云宇
 YY_FIN, YY_孙宁
 YY_BOCC, YY_宋加喜
 YY_RD_RD1, YY_刘彬彬
 YY_RD_RD1_OLTP, YY_杨丽艳
 YY_RD_RD1_SBC, YY_高超飞
 YY_RD_RD1_SIT, YY_李斌
 YY_BOCC_B1, YY_牛牛
 YY_BOCC_ZC, YY_于菲菲
 YY_RD_RD2, YY_宋文春
